recordKind,chapterId,silkOrder,line,position,originalCharacter,finalCharacter,auditCategory,wasModified,modifiedFields,reason,referenceScope,requiresImageReview,possibleAlternatives,remainingUncertainty,confidence
"addition","39","2","3","8","发","发","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","39","2","4","4","已","已","conflicting-witnesses","false","","当前校补“已”与传世参照对齐字“以”不同；仓库没有足够逐字证据裁决，不能自动择一。","silkA | receivedReference","true","以","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","39","2","4","5","灵","灵","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","39","2","4","6","将","将","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","39","2","5","1","谓","谓","insufficient-evidence","false","","当前字无法与传世参照可靠对齐，仓库也没有逐字甲本释文或原始图版；需要核对帛书乙本原始图版、高清摹本或权威释文。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","39","2","5","5","盈","盈","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","39","2","5","6","将","将","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","39","2","5","7","恐","恐","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","39","2","7","3","贵","贵","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","39","2","11","5","禄","禄","conflicting-witnesses","false","","当前校补“禄”与传世参照对齐字“琭”不同；仓库没有足够逐字证据裁决，不能自动择一。","silkA | receivedReference","true","琭","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","39","2","11","9","硌","硌","conflicting-witnesses","false","","当前校补“硌”与传世参照对齐字“珞”不同；仓库没有足够逐字证据裁决，不能自动择一。","silkA | receivedReference","true","珞","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","41","3","1","2","士","士","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","41","3","1","3","闻","闻","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","41","3","4","3","不","不","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","41","3","4","4","足","足","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","41","3","7","4","偷","偷","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","41","3","7","6","真","真","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","41","3","7","7","如","如","conflicting-witnesses","false","","当前校补“如”与传世参照对齐字“若”不同；仓库没有足够逐字证据裁决，不能自动择一。","silkA | receivedReference","true","若","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","41","3","7","8","渝","渝","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","40","4","2","1","弱","弱","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","40","4","2","2","也","也","insufficient-evidence","false","","当前字无法与传世参照可靠对齐，仓库也没有逐字甲本释文或原始图版；需要核对帛书乙本原始图版、高清摹本或权威释文。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","40","4","3","9","生","生","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","1","12","万","万","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","1","13","物","物","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","2","1","万","万","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","2","2","物","物","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","2","3","负","负","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","2","4","阴","阴","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","2","5","而","而","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","2","6","抱","抱","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","2","7","阳","阳","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","2","8","中","中","conflicting-witnesses","false","","当前校补“中”与传世参照对齐字“冲”不同；仓库没有足够逐字证据裁决，不能自动择一。","silkA | receivedReference","true","冲","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","2","9","气","气","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","3","15","名","名","conflicting-witnesses","false","","当前校补“名”与传世参照对齐字“称”不同；仓库没有足够逐字证据裁决，不能自动择一。","silkA | receivedReference","true","称","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","3","16","也","也","conflicting-witnesses","false","","当前校补“也”与传世参照对齐字“故”不同；仓库没有足够逐字证据裁决，不能自动择一。","silkA | receivedReference","true","故","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","4","1","物","物","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","4","2","或","或","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","4","3","损","损","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","4","4","之","之","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","4","5","而","而","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","4","10","损","损","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","5","2","人","人","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","5","3","之","之","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","5","4","所","所","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","5","5","教","教","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","5","6","亦","亦","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","5","7","议","议","conflicting-witnesses","false","","当前校补“议”与传世参照对齐字“我”不同；仓库没有足够逐字证据裁决，不能自动择一。","silkA | receivedReference","true","我","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","5","8","而","而","conflicting-witnesses","false","","当前校补“而”与传世参照对齐字“义”不同；仓库没有足够逐字证据裁决，不能自动择一。","silkA | receivedReference","true","义","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","5","9","教","教","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","5","10","人","人","conflicting-witnesses","false","","当前校补“人”与传世参照对齐字“之”不同；仓库没有足够逐字证据裁决，不能自动择一。","silkA | receivedReference","true","之","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","6","1","故","故","insufficient-evidence","false","","当前字无法与传世参照可靠对齐，仓库也没有逐字甲本释文或原始图版；需要核对帛书乙本原始图版、高清摹本或权威释文。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","6","2","强","强","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","6","3","梁","梁","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","6","4","者","者","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","6","5","不","不","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","6","6","得","得","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","6","7","死","死","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","6","11","为","为","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","42","5","6","12","学","学","conflicting-witnesses","false","","当前校补“学”与传世参照对齐字“教”不同；仓库没有足够逐字证据裁决，不能自动择一。","silkA | receivedReference","true","教","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","43","6","1","5","柔","柔","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","43","6","1","11","之","之","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","43","6","1","12","至","至","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","43","6","1","13","坚","坚","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","43","6","2","1","无","无","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","43","6","2","2","有","有","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","43","6","2","3","入","入","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","43","6","2","4","于","于","conflicting-witnesses","false","","当前校补“于”与传世参照对齐字“於”不同；仓库没有足够逐字证据裁决，不能自动择一。","silkA | receivedReference","true","於","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","43","6","2","5","无","无","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","43","6","2","6","间","间","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","43","6","2","10","知","知","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","43","6","2","11","无","无","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","43","6","2","12","为","为","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","43","6","2","13","之","之","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","43","6","2","14","有","有","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","43","6","2","15","益","益","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","43","6","3","2","言","言","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","43","6","3","3","之","之","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","43","6","3","4","教","教","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","43","6","3","5","无","无","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","43","6","3","6","为","为","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","43","6","3","7","之","之","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","43","6","3","8","益","益","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","43","6","3","9","天","天","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","43","6","3","10","下","下","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","43","6","3","11","希","希","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","43","6","3","12","能","能","insufficient-evidence","false","","当前字无法与传世参照可靠对齐，仓库也没有逐字甲本释文或原始图版；需要核对帛书乙本原始图版、高清摹本或权威释文。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","43","6","3","13","及","及","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","43","6","3","14","之","之","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
"addition","44","7","1","2","与","与","received-text-contamination","false","","当前校补与传世参照对齐，但仓库没有可逐字验证的甲本释文或乙本图版证据，无法证明它不是由传世本回填；保留原字并进入图版复核队列。","silkA | receivedReference","true","","需要核对帛书乙本原始图版、高清摹本或权威释文。","review-required"
